strength,0,1,2,3,4
0,3.3752672500000003,3.0469025,2.4821015,3.2741655,3.0630183333333334
1,2.731422625,2.4407375,3.211043333333333,,3.894482
2,2.5421392222222225,2.5763685,2.456686,2.2239915,2.324383
3,2.33389,2.8103771666666666,2.1046875,4.055551,3.59766
4,2.79946196,2.975461176470588,3.0807841333333332,3.4662753333333334,3.687330333333333
