partition,mol,smiles,strength,absorption,E_S1_eV,E_T1_eV,E_ST_eV,f_osc_S1
partition_0,mol0743,CCCCCCCC1(CCCCC)c2cc(C#Cc3cccc(C#N)c3)ccc2-c2ccc(C#Cc3cccc(C#N)c3)cc21,1,4,3.9076,3.2595,0.6481,3.368868
partition_0,mol0756,CCN(C)c1ccc2c(=O)c3ccc(N(CC)CC)cc3oc2c1,1,4,3.7292,3.0186,0.7106,0.938507
partition_0,mol0776,CC1=CC(=O)C(c2ccc(N(C)C)cc2)=CC1=O,2,0,1.8336,1.0172,0.8164,0.326143
partition_0,mol0784,CC1=Cc2nc1c1ccc([nH]1)c(-c1ccc(N)cc1)c1nc(c(-c3ccc(N)cc3)c3ccc([nH]3)c3ccccc23)C=C1,2,0,2.0893,1.145,0.9443,0.542565
partition_0,mol0791,CC1N=C2CCC(C#Cc3ccc(/C=C(\C#N)C(=O)O)cc3)=C21,2,0,3.6848,2.6188,1.066,2.398509
partition_0,mol0794,CCCC1=Cc2nc1c(NC(=O)O)cc1[nH]c(cc1CCC)c1nc(ccc3[nH]c2cc3CCC)C(C)=C1,2,0,2.1094,1.5738,0.5356,0.26324
partition_0,mol0795,CC1=CC2=CC=C3C=CC=C(N3)C3=NC(=C(c4ccc(C)cc4)C1=N2)C=C3,2,0,1.8357,1.2979,0.5378,0.106841
partition_0,mol0818,Cc1ccc(Sc2cc3sc4cc5[nH]c6c7ccccc7c(=O)c7ccccc7c6sc5c(C)c4[nH]c3c3c(=O)c4ccccc4c(=O)c23)cc1,2,0,2.0994,0.8939,1.2055,1.354308
partition_0,mol0822,CCCc1cc2ccc1[nH]c1ccc3nc(c4cc(CCC)c(ccc5nc(c2[nH]1)C=C5CCO)[nH]4)C=C3C,2,0,1.7763,0.5604,1.2159,0.105573
partition_0,mol0829,CN(c1ccccc1)c1ccc(/C=C(\C#N)c2ccccc2)cc1,2,0,3.2773,2.3262,0.9511,1.765644
partition_0,mol0836,CC1=C2C(=C1)c1ccccc1C(=O)c1cc2c2cc3cc4ccccc4cc3cc2c1,2,0,1.1939,0.4484,0.7455,0.103169
partition_0,mol0848,N#Cc1cc(N2C=C3C=CC=C32)c(-n2c3ccccc3c3ccccc32)cc1C#N,2,1,1.2453,0.8442,0.4011,0.029124
partition_0,mol0871,O=c1c2cccc3c4ccc5cccc(c54)c(c23)n1-c1ccccc1,2,1,1.8759,1.2109,0.665,0.1288
partition_0,mol0887,C1=CC(n2c3ccccc3c3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc32)=C1,2,2,1.6295,0.8499,0.7796,0.054803
partition_0,mol0898,C1=Cc2cc(N(c3ccccc3)c3ccccc3)c3c4c(ccc1c24)C=C3,2,2,1.4701,1.1214,0.3487,0.044194
partition_0,mol0914,Cc1cc2ccc3cccc4cc5cnccc5c1-c2c34,2,3,1.1589,0.8806,0.2783,0.019149
partition_1,mol0924,CCCCCCCCCOc1cc(OCCCC)c(C#Cc2ccc(N(C)C)cc2)cc1C#Cc1ccc(C(=O)O)cc1,2,3,3.842,3.1654,0.6766,1.966697
partition_1,mol0930,C1=NC(c2ccc(N(c3ccccc3)c3ccccc3)cc2)=C1,2,3,1.7975,0.9773,0.8202,0.185649
partition_1,mol0954,CCCCCCCCCN1C(=CC2=C([O-])C(=CC3=[N+](CCCCCC)c4ccccc4C3(C)C)C2=O)C(C)(C)c2cc(C(=O)O)ccc21,2,4,2.3478,1.0018,1.346,3.228356
partition_1,mol1002,CC1=Cc2cc3ccccc3cc2N2CCCC(C=Cc3ccc4cc5ccccc5cc4c3)=C12,3,0,2.5368,1.5744,0.9624,1.763562
partition_1,mol1004,COCCC1=Cc2nc1ccc1[nH]c(c3nc(ccc4[nH]c2cc4CCOC)C(CCOC)=C3)c(CCOC)c1C=O,3,0,2.1333,1.4566,0.6767,0.273504
partition_1,mol1010,CCc1c2cc3ccccc3cc2c(C#Cc2ccccc2)c2cc3ccccc3cc12,3,0,2.227,1.1301,1.0969,0.523707
partition_1,mol1019,CNc1cc2oc3ccccc3[nH]c2c2c(=O)c3ccccc3c(=O)c12,3,0,2.1033,0.9418,1.1615,0.650067
partition_1,mol1022,Cc1c2cc3ccccc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc3ccccc3cc12,3,0,2.2059,1.1139,1.092,0.352667
partition_1,mol1025,Cc1cc(C)c(C2=C3C=CC=[N+]3[B-](F)(F)n3c2c2cc4ccccc4cc2c3-c2ccc[nH]2)c(C)c1,3,0,2.5688,1.4238,1.145,1.140578
partition_1,mol1040,F[B-]1(F)n2c(-c3ccccc3)cc(-c3ccccc3)c2N=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]21,3,0,2.4337,1.148,1.2857,1.24098
partition_1,mol1050,CCCC1=Cc2nc1ccc1[nH]c(cc3nc(c(C)c4ccc2[nH]4)C=C3CC)c(CN(C)C)c1CCC,3,0,1.1816,0.9086,0.273,0.055088
partition_1,mol1054,CSc1ccc(C#Cc2cc(C#N)c3ccc4c(C#Cc5ccc(SC)cc5)cc(C#Cc5ccc(SC)cc5)c5ccc2c3c45)cc1,3,0,3.0356,2.247,0.7886,2.628306
partition_1,mol1063,CCOCCc1cc2[nH]c1ccc1nc(c3cc(CCOC)c(ccc4nc2C=C4CCOC)[nH]3)C=C1CCOC,3,0,1.7992,1.3521,0.4471,0.132022
partition_1,mol1081,CCn1c(C)cc(/C=C(/C#N)c2ccc(C=C(C(=O)O)C(=O)O)s2)c1C,3,1,2.6793,1.6712,1.0081,1.148241
partition_1,mol1090,CCCCCCCOc1cc(OCCCC)c(N(CC)CC)cc1C1=C(c2cccnc2)C(=O)N(C)C1=O,3,1,1.5096,0.9543,0.5553,0.177479
partition_1,mol1101,CCCCn1c2ccc(/C=N\c3ccc(C(=O)O)cc3)cc2c2cc(/C=C(\C#N)c3ccc(/C=N/c4ccc(C(=O)O)cc4)s3)ccc21,3,1,2.9208,2.1512,0.7696,2.189435
partition_1,mol1113,N#Cc1nc2ccc1ccc1c3c(c2)C=CC=3C=1,3,1,1.2055,0.926,0.2795,0.020935
partition_1,mol1122,CCCCCCC[N+]1=C(/C=C2/C(=O)C(O)=C2[O-])C(C)(C)c2cc(C(=O)O)ccc21,3,1,2.6808,0.9996,1.6812,1.445131
partition_1,mol1141,CN1C(=O)C(c2ccccc2)=C1/C(=C/c1cn(-c2ccccc2)nc1-c1ccc(F)cc1)c1ccccc1,3,1,2.0227,1.4138,0.6089,0.281153
partition_1,mol1170,COc1ccc2c1c(C)c1cccc3cnc2n31,3,2,1.083,0.5632,0.5198,0.061476
partition_1,mol1190,C1=CC2=Nc3cc(-c4ccc(-c5cc(-c6ccccc6)cc(-c6ccccc6)n5)cc4)ccc3C2=C1,3,2,1.1314,0.7471,0.3843,0.008241
partition_1,mol1267,CC1(C)c2ccccc2-c2ccc(-c3nc(-c4ccccc4)c(-c4ccccc4)[nH]3)cc21,3,3,3.839,3.1166,0.7224,1.681454
partition_1,mol1311,C1=N/C(=C/c2ccccc2)CN1c1ccccc1,3,4,3.5282,2.4488,1.0794,1.372963
partition_1,mol1347,O=C1CCN1c1ccc(-c2nn(-c3ccccc3)c(=O)o2)cc1,3,4,3.9424,3.0759,0.8665,1.572784
partition_1,mol1349,COC1=C2OC(=O)C=C2C=C1,3,4,1.1607,0.5566,0.6041,0.024188
partition_1,mol1379,CN(C)c1ccc(/C=N/C(C#N)=C/N=C/c2ccc(C#N)cc2)cc1,4,0,3.0433,1.841,1.2023,3.593663
partition_1,mol1385,CCCCCc1cc(/C=C(\C#N)C(=O)O)sc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,4,0,2.744,1.7424,1.0016,3.073226
partition_1,mol1386,CNc1ncnc2oc(/C=C/c3ccc(OC)cc3)cc12,4,0,3.6347,2.5149,1.1198,2.15733
partition_1,mol1388,CCCCCCCCOc1cc(OC)c(/C=C/c2ccc(/C=C/c3ccncc3)cc2)cc1/C=C/c1ccncc1,4,0,3.2734,2.639,0.6344,2.023373
