baseline,other,mean_diff,p,q,stars
0,1,0.23445986719236256,0.26147704590818366,0.5229540918163673,ns
0,2,0.15017458052073218,0.5349301397205589,0.7132401862940786,ns
0,3,-0.031223603374184616,0.8822355289421158,0.8822355289421158,ns
0,4,-1.1763793951384973,0.001996007984031936,0.007984031936127744,**
