partition,mol,smiles,strength,absorption,E_S1_eV,E_T1_eV,E_ST_eV,f_osc_S1
partition_0,mol0037,Cc1cc(C)cc(N2c3ccccc3Sc3ccccc32)c1,0,0,3.197000,2.802700,0.394300,0.074352
partition_0,mol0038,Cc1ccc2ccccc2c1,0,0,4.261200,3.446600,0.814600,0.003771
partition_0,mol0039,Cc1cc2ccccc2c2ccccc12,0,0,3.950200,3.497800,0.452400,0.000213
partition_0,mol0040,Cc1cc(N2c3ccccc3N(c3ccccc3)c3ccccc32)c2ccccc2c1,0,0,2.451300,2.216800,0.234500,0.000113
partition_0,mol0041,N#Cc1cc(C#N)c(C#N)cc1C#N,0,0,4.452900,4.009100,0.443800,0.043247
partition_0,mol0042,N#CC1=CCC=C1,0,0,4.303300,2.941100,1.362200,0.112024
partition_0,mol0043,Cc1cc(N2c3ccccc3N(c3c(C)cccc3C)c3ccccc32)cc(S(=O)(=O)c2ccccc2)c1,0,0,2.558700,2.310100,0.248600,0.000362
partition_0,mol0044,CC(=O)c1cc(C)cc(N2c3ccccc3N(c3ccccc3)c3ccccc32)c1,0,0,2.513500,2.293400,0.220100,0.016942
partition_0,mol0045,O=c1ccc2c(=O)c3ccccc3c(=O)c1=2,0,0,1.572600,0.944000,0.628600,0.016005
partition_0,mol0046,N#Cc1cc(C#N)c(C#Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1C#N,0,0,3.114200,2.519900,0.594300,1.828759
partition_0,mol0047,CC1=Cc2c(N3c4ccccc4Sc4ccccc43)ccc3cccc1c23,0,0,2.493100,2.177700,0.315400,0.046666
partition_0,mol0048,Cc1ccc2c3ccc(C(=O)c4ccccc4)cc3c3nc(N4c5ccccc5Oc5ccccc54)c(C(=O)c4ccccc4)nc3c2c1,0,0,2.431400,2.272800,0.158600,0.032701
partition_0,mol0049,c1ccc(N(c2ccccc2)c2ccc3c(c2)Oc2ccccc2N3c2ccc(C3CCCC3)cc2)cc1,0,0,3.023400,2.646500,0.376900,0.119207
partition_0,mol0050,O=c1oc2cc3c(cc2c2c1oc1cc(N4c5ccccc5Sc5ccccc54)ccc12)oc1cc(N2c4ccccc4Sc4ccccc42)ccc13,0,0,3.343900,2.550600,0.793300,1.873326
partition_0,mol0051,CC1(C)c2ccccc2N(c2ccc(-c3ncc(C#N)cn3)cc2)c2ccccc21,0,0,3.320700,2.523300,0.797400,1.723467
partition_0,mol0052,CC1(C)c2cc(N3c4ccccc4C(C)(C)c4ccccc43)ccc2-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc21,0,0,3.990400,3.424000,0.566400,0.009111
partition_0,mol0053,O=C1C=C(O)C(c2ccccc2)=C1,0,0,1.611100,1.055700,0.555400,0.000309
partition_0,mol0054,O=[N+]([O-])C(=CNc1ccc(/N=N/c2ccccc2)cc1)[N+](=O)[O-],0,0,1.583000,1.490100,0.092900,0.072181
partition_0,mol0055,CC1=CC2=C(c3ccc(C(=O)ON4C(=O)CCC4=O)cc3)c3ccc(N4CCCC4)n3[B-](F)(F)[N+]2=C1,0,0,2.748500,1.272700,1.475800,1.135975
