mol,smiles,E_S1(eV),wl_S1(nm),osc_S1,E_S2(eV),wl_S2(nm),osc_S2,E_S3(eV),wl_S3(nm),osc_S3,E_T1(eV),E_T2(eV),E(S1-T1)(eV),E_S1_SOC(eV),wl_S1_SOC(nm),osc_S1_SOC,E_S2_SOC(eV),wl_S2_SOC(nm),osc_S2_SOC,E_S3_SOC(eV),wl_S3_SOC(nm),osc_S3_SOC,HOMO(eV),LUMO(eV),Gap(eV)
mol1349,COC1=C2OC(=O)C=C2C=C1,2.521935,491.6,0.04411878,4.778896,259.4,0.628099228,4.889349,253.6,0.000135065,1.537,2.749,0.98,2.521941,491.6,0.044118844,4.778921,259.4,0.628037384,4.889357,253.6,0.000135065,-8.1243,-0.9982,7.13
mol0818,Cc1ccc(Sc2cc3sc4cc5[nH]c6c7ccccc7c(=O)c7ccccc7c6sc5c(C)c4[nH]c3c3c(=O)c4ccccc4c(=O)c23)cc1,2.497053,496.5,0.565297447,3.251195,381.3,0.101371925,3.410101,363.6,0.002725543,1.554,2.572,0.94,2.497054,496.5,0.565293698,3.251197,381.3,0.101371852,3.410108,363.6,0.002725739,-6.8995,-1.4614,5.44
mol0509,O=c1cc(O)c(=O)c1=O,2.488232,498.3,6.036e-06,3.225761,384.4,1.9104e-05,4.473314,277.2,4.0854e-05,2.03,2.791,0.46,2.488253,498.3,6.036e-06,3.225785,384.4,1.9104e-05,4.473342,277.2,4.0854e-05,-9.6338,-1.4562,8.18
mol1609,C1=NC(c2ccc(-c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)s3)s2)=N1,2.475072,500.9,0.944552941,3.073829,403.4,0.859251119,3.257905,380.6,0.001106414,1.577,2.106,0.9,2.475072,500.9,0.944552941,3.073829,403.4,0.859251114,3.257905,380.6,0.001106414,-7.3542,-1.6454,5.71
mol0210,C1=CC2=CN(c3ccc(-c4nnc(-c5ccccc5)o4)cc3)C2=C1,2.476388,500.7,0.121121971,4.009687,309.2,1.306171748,4.218789,293.9,0.511874039,1.704,2.546,0.77,2.476388,500.7,0.121121757,4.009688,309.2,1.306171799,4.218789,293.9,0.511873926,-7.3452,-0.4775,6.87
mol0496,CC1=c2c(cc3cccc4ccc(N5CCCC5)c2c43)C=C1,2.455054,505.0,0.218209764,3.462723,358.1,0.160944804,3.813342,325.1,0.337471767,1.491,2.379,0.96,2.455054,505.0,0.218209748,3.462723,358.1,0.160944804,3.813342,325.1,0.337471763,-6.7768,-0.7634,6.01
mol0795,CC1=CC2=CC=C3C=CC=C(N3)C3=NC(=C(c4ccc(C)cc4)C1=N2)C=C3,2.423826,511.5,0.181273879,3.167611,391.4,0.065163659,3.551361,349.1,0.120097773,1.69,2.254,0.73,2.423827,511.5,0.181273721,3.167612,391.4,0.065163624,3.551362,349.1,0.120097872,-7.338,-1.2183,6.12
mol0476,CCCC1=Cc2nc1cc(NC(C)=O)c1nc(ccc3[nH]c2cc3CCC)C(C)=C1,2.413668,513.7,0.131739379,2.676157,463.3,0.241481281,3.239232,382.8,0.000485824,1.618,1.755,0.8,2.413668,513.7,0.131739316,2.676157,463.3,0.241481257,3.239232,382.8,0.000485823,-7.5769,-1.6287,5.95
mol0530,C1=Cc2cc(N3c4ccccc4Oc4ccccc43)c3c4c(ccc1c24)C=C3,2.414717,513.5,0.004564033,2.864154,432.9,0.092602949,3.629211,341.6,0.019558037,1.635,2.484,0.78,2.414717,513.5,0.004564032,2.864154,432.9,0.092602912,3.629211,341.6,0.019558036,-7.1708,-1.2662,5.9
mol1396,CCCCCC[N+]1=C(C=C2C(=O)C(C=C3N(CCCC)c4ccccc4C3(C)C)=C2[O-])Cc2ccccc21,2.402707,516.0,1.868248126,3.421106,362.4,0.000323582,4.380388,283.0,0.20371918,1.223,3.103,1.18,2.402707,516.0,1.868248096,3.421106,362.4,0.000323582,4.380389,283.0,0.203719345,-6.6181,-1.0155,5.6
